X,City,Year,CO,Humidity,NO2,O3,PM10,PM25,SO2,Temperature,lat,lng,IPM25,IPM10,INO2,IO3,IQA,Country
48,Buenos Aires,2023,3.44912891986063,71.8083044982699,10.7149606299213,10.8590909090909,24.1527272727273,51.9573170731707,4.69532710280376,18.0477508650519,-34.6037,-58.3816,10.3914634146341,1.61018181818182,1.07149606299213,0.180984848484848,11.6439443261111,Argentina
49,Canberra,2019,8.89677419354839,47.8153846153846,1.78064516129032,8.50322580645161,60.5483870967742,128.709677419355,NA,20.7269230769231,-35.2809,149.13,25.741935483871,4.03655913978495,0.178064516129032,0.141720430107527,26.0617204301075,Australia
50,Canberra,2020,5.34582132564842,73.6159574468084,2.2051575931232,7.52752525252525,21.4469696969697,39.5757575757576,NA,12.6962765957447,-35.2809,149.13,7.91515151515152,1.42979797979798,0.22051575931232,0.125458754208754,8.26112602867259,Australia
51,Canberra,2021,3.36415584415585,74.1516709511568,1.83031914893616,6.6185089974293,8.31362467866324,23.6863753213368,NA,11.9588688946015,-35.2809,149.13,4.73727506426735,0.554241645244216,0.183031914893616,0.110308483290488,5.03061546245146,Australia
52,Canberra,2022,3.84561403508772,76.4162790697674,1.77113402061855,6.93887043189369,6.46843853820598,21.2724252491694,NA,10.5890365448505,-35.2809,149.13,4.25448504983389,0.431229235880399,0.177113402061855,0.115647840531561,4.5472462924273,Australia
53,Canberra,2023,3.64636678200692,74.7204152249133,1.95543859649122,6.3553633217993,8.57785467128028,25.5086505190311,NA,11.5301038062284,-35.2809,149.13,5.10173010380623,0.571856978085352,0.195543859649122,0.105922722029988,5.40319668548534,Australia
54,Delhi,2019,10.5241286863271,61.357908847185,18.2308310991957,8.60241286863271,136.782841823056,170.678284182306,6.55924932975871,25.2193029490617,28.6139,77.209,34.1356568364611,9.11885612153709,1.82308310991957,0.143373547810545,36.1021134941912,India
55,Delhi,2020,9.78661616161616,61.6842931937173,14.4179292929293,9.71843434343433,116.315656565657,156.388888888889,5.53181818181818,25.8717277486911,28.6139,77.209,31.2777777777778,7.7543771043771,1.44179292929293,0.161973905723906,32.8815446127946,India
56,Delhi,2021,9.83547557840617,62.2385012919897,14.8508997429306,8.96478149100257,129.73264781491,163.393316195373,5.12904884318766,25.9695090439277,28.6139,77.209,32.6786632390746,8.64884318766067,1.4850899742930599,0.149413024850043,34.3131662382177,India
57,Delhi,2022,9.36677740863787,60.4750830564785,13.358803986710999,7.65581395348837,121.564784053156,149.518272425249,4.34451827242525,27.5727574750831,28.6139,77.209,29.9036544850498,8.10431893687708,1.3358803986711,0.127596899224806,31.3671317829457,India
58,Delhi,2023,8.62214532871973,62.357785467128,11.7079584775086,7.72906574394464,100.217993079585,132.463667820069,3.87370242214533,25.9536332179931,28.6139,77.209,26.4927335640138,6.68119953863898,1.17079584775086,0.128817762399077,27.7923471741638,India
59,Hong Kong,2019,6.30935828877005,71.871081081081,19.9318181818182,20.6139037433155,29.4331550802139,65.7112299465241,2.52245989304813,23.932972972973,22.3193,114.1694,13.1422459893048,1.96221033868093,1.99318181818182,0.343565062388592,15.4789928698752,Hong Kong
60,Hong Kong,2020,5.53232323232323,73.0641909814323,16.3323232323232,18.4358585858586,24.0328282828283,52.7954545454545,2.23914141414141,24.6397877984085,22.3193,114.1694,10.5590909090909,1.60218855218855,1.63323232323232,0.30726430976431,12.4995875420875,Hong Kong
61,Hong Kong,2021,5.47737789203086,71.3125964010283,17.893059125964,19.3755784061697,24.6555269922879,54.7712082262211,2.3012853470437,24.8856041131106,22.3193,114.1694,10.9542416452442,1.64370179948586,1.7893059125964,0.322926306769495,13.0664738646101,Hong Kong
62,Hong Kong,2022,5.15714285714286,72.1734219269103,15.1777408637874,21.2704318936877,20.7275747508306,48.906976744186,2.221926910299,25.8006644518273,22.3193,114.1694,9.78139534883721,1.38183831672204,1.51777408637874,0.354507198228129,11.6536766334441,Hong Kong
63,Hong Kong,2023,5.1083044982699,78.1982698961938,16.823875432526,23.4861591695502,25.6401384083045,58.7231833910035,1.85259515570934,23.0865051903114,22.3193,114.1694,11.7446366782007,1.70934256055363,1.6823875432526,0.39143598615917,13.8184602076125,Hong Kong
64,Islamabad,2019,NA,66.9433070866142,NA,NA,NA,107.4453125,NA,18.4350393700787,33.6844,73.0479,21.4890625,NA,NA,NA,21.4890625,Pakistan
65,Islamabad,2020,NA,61.029255319149,NA,NA,NA,103.111111111111,NA,21.2978723404256,33.6844,73.0479,20.6222222222222,NA,NA,NA,20.6222222222222,Pakistan
66,Islamabad,2021,NA,55.2287878787879,NA,NA,NA,108.079310344828,NA,21.3560606060606,33.6844,73.0479,21.6158620689655,NA,NA,NA,21.6158620689655,Pakistan
67,Islamabad,2022,NA,58.9963210702341,NA,NA,NA,105.992957746479,NA,24.7682274247492,33.6844,73.0479,21.1985915492958,NA,NA,NA,21.1985915492958,Pakistan
68,Islamabad,2023,NA,56.7659685863874,NA,NA,NA,102.628272251309,NA,20.9230366492147,33.6844,73.0479,20.5256544502618,NA,NA,NA,20.5256544502618,Pakistan
69,Kampala,2019,NA,81.3559420289855,NA,NA,NA,133.613698630137,NA,22.4750724637681,0.3476,32.5825,26.7227397260274,NA,NA,NA,26.7227397260274,Uganda
70,Kampala,2020,NA,78.4762987012987,NA,NA,NA,130.190625,NA,22.774025974026,0.3476,32.5825,26.038125,NA,NA,NA,26.038125,Uganda
71,Kampala,2021,NA,77.6340909090909,NA,NA,NA,126.509971509972,NA,22.8727272727273,0.3476,32.5825,25.3019943019943,NA,NA,NA,25.3019943019943,Uganda
72,Kampala,2022,NA,77.0528368794326,NA,NA,NA,116.977611940299,NA,22.4602836879433,0.3476,32.5825,23.3955223880597,NA,NA,NA,23.3955223880597,Uganda
73,Kampala,2023,NA,77.7448598130841,NA,NA,NA,109,NA,22.85,0.3476,32.5825,21.8,NA,NA,NA,21.8,Uganda
74,Manama,2019,NA,55.7140921409214,NA,NA,NA,118.008379888268,NA,27.9536585365854,26.2235,50.586,23.6016759776536,NA,NA,NA,23.6016759776536,Bahrain
75,Manama,2020,NA,55.8039893617021,NA,NA,NA,111.687817258883,NA,28.1776595744681,26.2235,50.586,22.3375634517766,NA,NA,NA,22.3375634517766,Bahrain
76,Manama,2021,NA,52.9104557640751,NA,NA,NA,118.85632183908,NA,28.4024128686327,26.2235,50.586,23.7712643678161,NA,NA,NA,23.7712643678161,Bahrain
77,Manama,2022,NA,46.5570707070707,NA,NA,NA,135.010989010989,NA,32.6156565656566,26.2235,50.586,27.0021978021978,NA,NA,NA,27.0021978021978,Bahrain
78,Manama,2023,NA,58.4916943521594,NA,NA,NA,105.214007782101,NA,31.1305647840532,26.2235,50.586,21.0428015564202,NA,NA,NA,21.0428015564202,Bahrain
79,Mexico City,2019,6.83538873994638,42.3425474254743,16.886327077748,22.2798927613941,36.0160857908847,67.2037533512064,3.86702412868632,13.8452574525745,19.4326,-99.1332,13.4407506702413,2.40107238605898,1.6886327077748,0.371331546023235,15.5007149240393,Mexico
80,Mexico City,2020,6.48962025316455,50.0921875,14.7655696202532,21.6007594936709,34.6278481012658,60.6810126582279,3.72683544303797,17.44453125,19.4326,-99.1332,12.1362025316456,2.30852320675106,1.47655696202532,0.360012658227848,13.9727721518987,Mexico
81,Mexico City,2021,6.53186528497408,51.8753213367609,16.4170984455958,19.3041450777202,33.9637305699482,60.7253886010363,3.45829015544041,17.0627249357327,19.4326,-99.1332,12.1450777202073,2.26424870466321,1.64170984455958,0.321735751295337,14.1085233160622,Mexico
82,Mexico City,2022,6.24916943521594,56.0654485049834,16.4551495016611,19.5548172757475,32.4252491694352,60.6644518272425,3.08970099667773,17.6043189368771,19.4326,-99.1332,12.1328903654485,2.16168327796235,1.64551495016611,0.325913621262459,14.1043189368771,Mexico
83,Mexico City,2023,6.81701388888889,47.1435986159169,15.2097222222222,20.8409722222222,38.5138888888889,61.5902777777778,3.5236111111111,18.5166089965398,19.4326,-99.1332,12.3180555555556,2.56759259259259,1.52097222222222,0.347349537037037,14.1863773148148,Mexico
84,Moscow,2019,3.04887005649717,73.6247191011236,13.1429378531073,8.92848484848485,20.4745762711864,41.9378531073446,1.13361581920904,8.04016853932585,55.7558,37.6173,8.38757062146893,1.36497175141243,1.31429378531073,0.148808080808081,9.85067248758774,Russia
85,Moscow,2020,2.83268156424581,67.4951149425287,13.3477653631285,11.3793296089385,20.0921787709497,42.3491620111732,1.10977653631285,9.51551724137931,55.7558,37.6173,8.46983240223464,1.33947858472998,1.33477653631285,0.189655493482309,9.9942644320298,Russia
86,Moscow,2021,2.90051413881748,63.9311053984576,17.5352185089974,13.9082262210797,18.6323907455013,43.9537275064267,0.921336760925449,7.91233933161953,55.7558,37.6173,8.79074550128535,1.24215938303342,1.75352185089974,0.231803770351328,10.7760711225364,Russia
87,Moscow,2022,2.77112970711297,66.704132231405,16.2410041841004,10.5343220338983,18.7615062761506,39.4476987447699,0.850209205020921,11.6665289256198,55.7558,37.6173,7.88953974895397,1.25076708507671,1.62410041841004,0.175572033898305,9.68921220126232,Russia
